experiment_id,run_index,algorithm,set_size,hypervolume,igd,epsilon_additive,mean_nn_distance,reference_front_size
IMG_0004,1,HHO-VC,1,0.05356974449701996,1.102311913773636,0.8661971830985917,0.0,37
IMG_0004,1,EHHO-VC,1,0.036651098069473184,1.1128762361470077,0.89906103286385,0.0,37
IMG_0004,1,BEHHO-VC-Calibrated,1,0.024480289730411626,0.961403927116543,1.0,0.0,37
IMG_0004,1,BDA-EHHO-VC-Calibrated,1,0.0212132609815119,0.7069748330436464,1.0,0.0,37
IMG_0004,1,MO-BDA-EHHO-VC,36,0.9299173837886939,0.014301101569481561,0.08372465725695126,0.1468043659993155,37
IMG_0004,2,HHO-VC,1,0.008961720588525469,0.9028487018806322,0.9898218829516893,0.0,33
IMG_0004,2,EHHO-VC,1,0.013508611959724736,0.8735075838377463,0.9389312977100371,0.0,33
IMG_0004,2,BEHHO-VC-Calibrated,1,0.07669931450916678,0.6491442116595965,0.9440203562342048,0.0,33
IMG_0004,2,BDA-EHHO-VC-Calibrated,1,0.005723597714298513,0.9912151488629154,1.0,0.0,33
IMG_0004,2,MO-BDA-EHHO-VC,33,0.8833497879967142,0.0,0.0,0.2217729822540025,33
IMG_0004,3,HHO-VC,1,0.015502778865198576,1.1095397025723872,1.0,0.0,40
IMG_0004,3,EHHO-VC,1,0.019898487809093365,1.0990638612789576,0.9970674486803518,0.0,40
IMG_0004,3,BEHHO-VC-Calibrated,1,0.12708118741238347,0.5640679178388531,0.6279523665035002,0.0,40
IMG_0004,3,BDA-EHHO-VC-Calibrated,1,0.058979134067465924,0.7790957296925296,0.7834522411349507,0.0,40
IMG_0004,3,MO-BDA-EHHO-VC,40,0.9889537566928462,0.0,0.0,0.1482881880187294,40
IMG_0004,4,HHO-VC,1,0.003860395472508645,1.0719187770653384,1.0,0.0,35
IMG_0004,4,EHHO-VC,1,0.003860395472508645,1.0719187770653384,1.0,0.0,35
IMG_0004,4,BEHHO-VC-Calibrated,1,0.012701886584415106,0.9294155093951361,0.9574468085107043,0.0,35
IMG_0004,4,BDA-EHHO-VC-Calibrated,1,0.1670419471042378,0.4876932889983416,0.5921570406453351,0.0,35
IMG_0004,4,MO-BDA-EHHO-VC,33,0.7635873426386721,0.041834973505415304,0.01818181818181827,0.19660230480048288,35
IMG_0004,5,HHO-VC,1,0.0062341335207779375,1.0585789599674165,1.0,0.0,39
IMG_0004,5,EHHO-VC,1,0.0062341335207779375,1.0585789599674165,1.0,0.0,39
IMG_0004,5,BEHHO-VC-Calibrated,1,0.0062341335207779375,1.0585789599674165,1.0,0.0,39
IMG_0004,5,BDA-EHHO-VC-Calibrated,1,0.07190793946816049,0.7504874027295388,0.7265077138849656,0.0,39
IMG_0004,5,MO-BDA-EHHO-VC,36,1.0453266918488384,0.02503038463761369,0.04120879120879121,0.13280953979142157,39
IMG_0005,1,HHO-VC,1,0.010932692116561183,0.9624472317038438,1.0,0.0,22
IMG_0005,1,EHHO-VC,1,0.009736282718634212,0.9721328242273074,0.9939879759519038,0.0,22
IMG_0005,1,BEHHO-VC-Calibrated,1,0.06981155503598117,0.6898956097854364,0.770925068714982,0.0,22
IMG_0005,1,BDA-EHHO-VC-Calibrated,1,0.0574246548405422,0.7015391595464829,0.7795355001792693,0.0,22
IMG_0005,1,MO-BDA-EHHO-VC,22,0.9156963363050009,0.0,0.0,0.2120811250241865,22
IMG_0005,2,HHO-VC,1,0.003889270577310205,1.1369837107036807,0.9914163090128756,0.0,16
IMG_0005,2,EHHO-VC,1,0.003889270577310205,1.1369837107036807,0.9914163090128756,0.0,16
IMG_0005,2,BEHHO-VC-Calibrated,1,0.01234967287732308,0.9190283424268036,1.0,0.0,16
IMG_0005,2,BDA-EHHO-VC-Calibrated,1,0.024840503497141665,0.8452257485649888,0.9045050189123273,0.0,16
IMG_0005,2,MO-BDA-EHHO-VC,16,1.055334602177048,0.0,0.0,0.25195356852174944,16
IMG_0005,3,HHO-VC,1,0.24387806301431453,0.8393617221619603,0.7077475484833569,0.0,17
IMG_0005,3,EHHO-VC,1,0.03894111244946886,0.7976004674207352,0.8709677419351289,0.0,17
IMG_0005,3,BEHHO-VC-Calibrated,1,0.013899686873183752,0.9055578325265752,0.9193548387092272,0.0,17
